Id,SalePrice
1461,126427.93
1462,151932.57
1463,183391.5
1464,186359.5
1465,198123.52
1466,185587.22
1467,162432.51
1468,177649.95
1469,188821.5
1470,121249.5
1471,205834.62
1472,96372.0
1473,99106.0
1474,158908.78
1475,154735.85
1476,324063.24
1477,251007.95
1478,304339.09
1479,250839.33
1480,348616.38
1481,312491.2
1482,208105.15
1483,173524.91
1484,178274.67
1485,172664.56
1486,194910.87
1487,297841.39
1488,243565.26
1489,215122.54
1490,198694.32
1491,190807.05
1492,95724.97
1493,171908.14
1494,294282.78
1495,298485.14
1496,226980.83
1497,188299.35
1498,155066.88
1499,152930.32
1500,149896.55
1501,175492.2
1502,169816.44
1503,281117.85
1504,228179.82
1505,223023.97
1506,183082.55
1507,210102.48
1508,200462.4
1509,165091.2
1510,151535.59
1511,154351.09
1512,169644.5
1513,152809.63
1514,162570.07
1515,185948.64
1516,165458.52
1517,150398.81
1518,129554.99
1519,229655.74
1520,132973.5
1521,142904.75
1522,159953.5
1523,115379.02
1524,122576.8
1525,123620.64
1526,127524.0
1527,105007.52
1528,130450.5
1529,140535.75
1530,166388.5
1531,129841.0
1532,108132.0
1533,145389.3
1534,116982.08
1535,161657.5
1536,116297.93
1537,74778.33
1538,170854.51
1539,226575.18
1540,115963.01
1541,151068.54
1542,146397.5
1543,227676.99
1544,76968.26
1545,103919.5
1546,119838.76
1547,142977.09
1548,136645.18
1549,112142.3
1550,142866.0
1551,114269.51
1552,149068.37
1553,141969.85
1554,111159.2
1555,171076.23
1556,95299.47
1557,127234.59
1558,91799.05
1559,126885.19
1560,150697.17
1561,158026.3
1562,126606.08
1563,125161.5
1564,162823.72
1565,159283.06
1566,221600.56
1567,75235.79
1568,223470.0
1569,149950.82
1570,126605.26
1571,136733.58
1572,140554.5
1573,244658.03
1574,108754.9
1575,213759.14
1576,215951.9
1577,208822.9
1578,149292.56
1579,140749.6
1580,190891.85
1581,137211.5
1582,127766.2
1583,318650.91
1584,244336.18
1585,141418.0
1586,72160.33
1587,106479.93
1588,150283.93
1589,97740.29
1590,133431.67
1591,106317.38
1592,119321.65
1593,113289.21
1594,141291.47
1595,119412.91
1596,241474.64
1597,165573.43
1598,179140.2
1599,214556.21
1600,188414.04
1601,81112.65
1602,113634.96
1603,98317.25
1604,287347.85
1605,260076.69
1606,167035.32
1607,166136.14
1608,221639.65
1609,204710.93
1610,161277.4
1611,145780.93
1612,150191.26
1613,164077.31
1614,119537.66
1615,87721.83
1616,83020.5
1617,89733.0
1618,127601.5
1619,130479.5
1620,145775.15
1621,135658.82
1622,154962.18
1623,290830.84
1624,210330.44
1625,131763.08
1626,173882.5
1627,192040.2
1628,282320.82
1629,174201.5
1630,306371.15
1631,222923.77
1632,252658.84
1633,169931.44
1634,180769.32
1635,180081.46
1636,157780.73
1637,176554.38
1638,216342.84
1639,179968.07
1640,253232.38
1641,184718.5
1642,220920.3
1643,225148.18
1644,217900.78
1645,177078.05
1646,150113.75
1647,164143.8
1648,142112.51
1649,136113.25
1650,123494.0
1651,125099.33
1652,94462.93
1653,98744.43
1654,159288.73
1655,161751.65
1656,154186.43
1657,156183.29
1658,158250.32
1659,150054.5
1660,142197.5
1661,359162.98
1662,322812.52
1663,341880.09
1664,362190.77
1665,308528.67
1666,331390.54
1667,313528.24
1668,320966.32
1669,296742.09
1670,332903.61
1671,266393.69
1672,356481.42
1673,295387.02
1674,256160.87
1675,182992.95
1676,184601.4
1677,216766.37
1678,343899.38
1679,356027.17
1680,309810.08
1681,242872.81
1682,307023.72
1683,190635.45
1684,169458.45
1685,176736.91
1686,167014.75
1687,169864.94
1688,186407.5
1689,187217.91
1690,184859.37
1691,176799.36
1692,261809.58
1693,171545.91
1694,185297.82
1695,171876.35
1696,269075.12
1697,173118.8
1698,316135.04
1699,326726.96
1700,238017.25
1701,251787.15
1702,257235.63
1703,265842.79
1704,291994.52
1705,235146.09
1706,337596.89
1707,223560.14
1708,227489.26
1709,274211.05
1710,231989.31
1711,279170.3
1712,253492.34
1713,253082.57
1714,235065.38
1715,201760.55
1716,176863.08
1717,170199.49
1718,138813.5
1719,206126.0
1720,256651.91
1721,174524.76
1722,127986.75
1723,151840.25
1724,218334.73
1725,232260.27
1726,187939.1
1727,167416.4
1728,189522.04
1729,166633.56
1730,164044.75
1731,123261.75
1732,132488.08
1733,127639.68
1734,127307.0
1735,130753.93
1736,118041.33
1737,334577.94
1738,220410.98
1739,263726.6
1740,186020.9
1741,174311.15
1742,173880.2
1743,173130.0
1744,320459.87
1745,245889.79
1746,263343.05
1747,224889.69
1748,206148.0
1749,159479.18
1750,154038.19
1751,235748.16
1752,125009.5
1753,145035.28
1754,220203.85
1755,166270.19
1756,118954.99
1757,122895.5
1758,146097.62
1759,174597.37
1760,154624.19
1761,154456.0
1762,171382.97
1763,168514.08
1764,119991.29
1765,175555.5
1766,170023.0
1767,203154.5
1768,137716.75
1769,168023.65
1770,139889.5
1771,138766.0
1772,145022.49
1773,144208.25
1774,126597.18
1775,133205.05
1776,119865.0
1777,119144.5
1778,131944.05
1779,116945.93
1780,177426.32
1781,130531.5
1782,102119.37
1783,128694.74
1784,100339.82
1785,112649.5
1786,150993.23
1787,164815.85
1788,59677.34
1789,94149.69
1790,91513.32
1791,167570.92
1792,153626.25
1793,131887.52
1794,141785.32
1795,136093.25
1796,116725.93
1797,114569.36
1798,123813.98
1799,117869.5
1800,123731.59
1801,132630.04
1802,154373.65
1803,154490.26
1804,143078.5
1805,132460.25
1806,114923.41
1807,143490.14
1808,119464.0
1809,125635.24
1810,146555.32
1811,121295.0
1812,118792.49
1813,119294.0
1814,102781.25
1815,60252.43
1816,103998.93
1817,124497.44
1818,127989.3
1819,117021.2
1820,80792.93
1821,123763.22
1822,149078.2
1823,64119.58
1824,132799.0
1825,135065.72
1826,101652.83
1827,111405.81
1828,139174.18
1829,110492.3
1830,144985.8
1831,179840.5
1832,111168.19
1833,150046.0
1834,129975.18
1835,179168.59
1836,129964.18
1837,98733.8
1838,135226.18
1839,87375.86
1840,167205.91
1841,153469.1
1842,90196.54
1843,140614.37
1844,133930.76
1845,136749.99
1846,146712.25
1847,146277.03
1848,61219.92
1849,119446.95
1850,127831.5
1851,151529.91
1852,123814.25
1853,132438.37
1854,183705.6
1855,139593.38
1856,218449.59
1857,161417.19
1858,139091.6
1859,119926.87
1860,153766.21
1861,119596.87
1862,268190.59
1863,265702.59
1864,265702.59
1865,317498.22
1866,321088.51
1867,244729.41
1868,290621.85
1869,201070.79
1870,252218.21
1871,254392.96
1872,170691.65
1873,221520.06
1874,139319.75
1875,210682.32
1876,195460.5
1877,210562.65
1878,212947.58
1879,131659.0
1880,137855.03
1881,243246.11
1882,254816.17
1883,196850.11
1884,219662.05
1885,252267.9
1886,288879.09
1887,203047.59
1888,279673.58
1889,165336.45
1890,133154.05
1891,141852.66
1892,115129.34
1893,132438.84
1894,127462.87
1895,149665.0
1896,125216.5
1897,117937.5
1898,105087.0
1899,127015.21
1900,157036.91
1901,167531.74
1902,132972.54
1903,234643.56
1904,137618.21
1905,172172.94
1906,154037.34
1907,199667.48
1908,115139.52
1909,135331.97
1910,122788.74
1911,195782.3
1912,264506.05
1913,137556.87
1914,67463.66
1915,328824.66
1916,71245.87
1917,258578.25
1918,137977.0
1919,154600.27
1920,158022.02
1921,361009.07
1922,315267.58
1923,207219.94
1924,247619.94
1925,230125.59
1926,360096.38
1927,137458.25
1928,161867.35
1929,128766.93
1930,125296.43
1931,139231.4
1932,135520.24
1933,176319.5
1934,183198.14
1935,179590.12
1936,192193.0
1937,183826.52
1938,170087.42
1939,246293.94
1940,198724.67
1941,178518.88
1942,192282.72
1943,199264.48
1944,301277.7
1945,349301.07
1946,166451.69
1947,296384.03
1948,169798.24
1949,251492.42
1950,183197.7
1951,271966.92
1952,246514.12
1953,168082.27
1954,213533.05
1955,129052.37
1956,279444.32
1957,167673.92
1958,321007.92
1959,143287.84
1960,119610.66
1961,122228.0
1962,95124.0
1963,105482.75
1964,111032.82
1965,157551.86
1966,160959.55
1967,294338.43
1968,360300.08
1969,354955.99
1970,349412.27
1971,337947.1
1972,340342.05
1973,268785.74
1974,322244.02
1975,355764.87
1976,287291.53
1977,335042.56
1978,330068.62
1979,316604.4
1980,195379.73
1981,330068.62
1982,229876.62
1983,220223.55
1984,169208.2
1985,207053.85
1986,216377.4
1987,187989.21
1988,179967.5
1989,184901.4
1990,221307.62
1991,220479.47
1992,217651.96
1993,174879.03
1994,247402.93
1995,183123.76
1996,248877.2
1997,298768.47
1998,350453.58
1999,252298.16
2000,298282.82
2001,264919.08
2002,238932.44
2003,259712.17
2004,281172.02
2005,223573.7
2006,227262.92
2007,252168.3
2008,214135.93
2009,188109.92
2010,190990.26
2011,147197.99
2012,182021.43
2013,184208.34
2014,187284.4
2015,196337.5
2016,193329.04
2017,209403.03
2018,125470.0
2019,134337.6
2020,117725.45
2021,118133.5
2022,177994.24
2023,159872.65
2024,220676.24
2025,314506.81
2026,183084.52
2027,147702.57
2028,152662.16
2029,168442.35
2030,277245.1
2031,233138.01
2032,256714.38
2033,260845.53
2034,162133.22
2035,203286.53
2036,182530.93
2037,187143.59
2038,273127.58
2039,208194.27
2040,319961.7
2041,276730.82
2042,208398.65
2043,173975.0
2044,173009.94
2045,234689.0
2046,133904.5
2047,152723.87
2048,131829.0
2049,134322.84
2050,175901.75
2051,104564.86
2052,136277.18
2053,138747.0
2054,86967.0
2055,159787.0
2056,126884.25
2057,127717.8
2058,212277.44
2059,127409.61
2060,158224.0
2061,172946.75
2062,133969.75
2063,119134.58
2064,134935.05
2065,125417.5
2066,165415.52
2067,124836.13
2068,137419.52
2069,87056.54
2070,112819.8
2071,99905.75
2072,140778.12
2073,133978.83
2074,185639.97
2075,144806.25
2076,122815.71
2077,149534.0
2078,127037.16
2079,129266.59
2080,115725.6
2081,121598.0
2082,132535.81
2083,149406.0
2084,113457.58
2085,129403.94
2086,112793.43
2087,120859.83
2088,106159.24
2089,93681.32
2090,134529.16
2091,127981.79
2092,136476.22
2093,138669.5
2094,153875.45
2095,149896.5
2096,89818.7
2097,100635.08
2098,148355.0
2099,58203.2
2100,112130.6
2101,125148.75
2102,147618.0
2103,104090.58
2104,133434.2
2105,128220.4
2106,80124.36
2107,243753.79
2108,115976.52
2109,114092.0
2110,119169.14
2111,154715.45
2112,138515.9
2113,117286.5
2114,111523.04
2115,151502.88
2116,111590.0
2117,144584.04
2118,115040.5
2119,110119.9
2120,111641.76
2121,112825.25
2122,106774.18
2123,94369.04
2124,202220.4
2125,133028.05
2126,159559.64
2127,147676.18
2128,133357.47
2129,103869.73
2130,146262.43
2131,157840.04
2132,113634.96
2133,112928.91
2134,118976.8
2135,102623.86
